# object name: Structure
-2.094395 1.308997 0.101796
-1.832596 1.308997 0.055901
-1.570796 1.308997 0.000000
-1.308997 1.308997 0.055901
-1.047198 1.308997 0.101796
-0.785398 1.308997 0.129630
-0.523599 1.308997 0.165644
-0.261799 1.308997 0.188679
0.000000 1.308997 0.200000
0.261799 1.308997 0.188679
0.523599 1.308997 0.165644
0.785398 1.308997 0.129630
1.047198 1.308997 0.101796
1.308997 1.308997 0.055901
1.570796 1.308997 0.000000
1.832596 1.308997 0.055901
2.094395 1.308997 0.101796
2.356194 1.308997 0.129630
2.617994 1.308997 0.165644
2.879793 1.308997 0.188679
3.141593 1.308997 0.200000

-3.141593 1.570796 0.000000
-2.879793 1.570796 0.000000
-2.617994 1.570796 0.000000
-2.356194 1.570796 0.000000
-2.094395 1.570796 0.000000
-1.832596 1.570796 0.000000
-1.570796 1.570796 0.000000
-1.308997 1.570796 0.000000
