# object name: SOLAR_PANEL+Z
-2.617994 0.261799 0.939759
-2.356194 0.261799 0.960784
-2.094395 0.261799 0.968254
-1.832596 0.261799 1.000000
-1.570796 0.261799 1.000000
-1.308997 0.261799 1.000000
-1.047198 0.261799 0.968254
-0.785398 0.261799 0.960784
-0.523599 0.261799 0.939759
-0.261799 0.261799 0.938776
0.000000 0.261799 0.785714
0.261799 0.261799 0.207547
0.523599 0.261799 0.141176
0.785398 0.261799 0.103774
1.047198 0.261799 0.063492
1.308997 0.261799 0.000000
1.570796 0.261799 0.000000
1.832596 0.261799 0.000000
2.094395 0.261799 0.063492
2.356194 0.261799 0.103774
2.617994 0.261799 0.141176
2.879793 0.261799 0.207547
3.141593 0.261799 0.785714

-3.141593 0.523599 0.625000
-2.879793 0.523599 0.840000
-2.617994 0.523599 0.923077
-2.356194 0.523599 0.947917
-2.094395 0.523599 0.939655
-1.832596 0.523599 0.951613
-1.570796 0.523599 1.000000
-1.308997 0.523599 0.951613
-1.047198 0.523599 0.939655
-0.785398 0.523599 0.947917
-0.523599 0.523599 0.923077
-0.261799 0.523599 0.840000
0.000000 0.523599 0.625000
0.261799 0.523599 0.180000
0.523599 0.523599 0.123457
0.785398 0.523599 0.090909
1.047198 0.523599 0.076271
1.308997 0.523599 0.000000
1.570796 0.523599 0.000000
1.832596 0.523599 0.000000
2.094395 0.523599 0.076271
2.356194 0.523599 0.090909
2.617994 0.523599 0.123457
2.879793 0.523599 0.180000
3.141593 0.523599 0.625000

-3.141593 0.785398 0.470588
-2.879793 0.785398 0.717391
-2.617994 0.785398 0.842857
-2.356194 0.785398 0.892857
-2.094395 0.785398 0.909091
-1.832596 0.785398 0.925926
-1.570796 0.785398 1.000000
-1.308997 0.785398 0.925926
-1.047198 0.785398 0.909091
-0.785398 0.785398 0.892857
-0.523599 0.785398 0.842857
-0.261799 0.785398 0.717391
0.000000 0.785398 0.470588
0.261799 0.785398 0.163265
0.523599 0.785398 0.123288
0.785398 0.785398 0.090909
1.047198 0.785398 0.000000
1.308997 0.785398 0.018182
1.570796 0.785398 0.000000
1.832596 0.785398 0.018182
2.094395 0.785398 0.000000
2.356194 0.785398 0.090909
2.617994 0.785398 0.123288
2.879793 0.785398 0.163265
